type,param,label,tv,mean_cr,median_cr,std_cr,p95,p99,max_cr,fail_rate,severe_fail,regret,rel_regret,t_star,buy_rate,se
Mean Bias,-70.0,Extreme Early,0.5496886478844442,1.2307281818181819,1.1,0.29368845442953095,1.8363636363636364,2.172727272727273,2.7545454545454544,0.1783,0.0228,25.3801,0.23072818181818183,435,0.0,0.0029368845442953096
Mean Bias,-50.0,Very Early,0.4233058343425549,1.2347818181818184,1.1,0.29798920733921447,1.8545454545454545,2.1545454545454548,2.8454545454545452,0.1841,0.0216,25.826,0.2347818181818182,458,0.0,0.002979892073392145
Mean Bias,-30.0,Early,0.2691183331224457,1.231517272727273,1.0909090909090908,0.29743870162645275,1.8454545454545455,2.172727272727273,2.7181818181818183,0.1799,0.0241,25.4669,0.23151727272727277,475,0.0,0.0029743870162645277
Mean Bias,-10.0,Slightly Early,0.09296877754724521,1.2366272727272727,1.1,0.30153159638413535,1.8454545454545455,2.172818181818184,2.8636363636363638,0.1876,0.0249,26.029,0.23662727272727274,501,0.0,0.0030153159638413533
Mean Bias,0.0,Correct,0.0,1.2327345454545453,1.0909090909090908,0.29885698383347553,1.8459090909090843,2.1454545454545455,2.7454545454545456,0.1876,0.0222,25.6008,0.23273454545454542,501,0.0,0.0029885698383347553
Mean Bias,10.0,Slightly Late,0.09403685199299092,1.2318500000000001,1.0909090909090908,0.29898530220726505,1.8454545454545455,2.1636363636363636,3.172727272727273,0.1805,0.0243,25.5035,0.23185,501,0.0,0.0029898530220726503
Mean Bias,30.0,Late,0.2787185462053705,1.2342227272727273,1.1,0.2993106183670592,1.8545454545454545,2.1454545454545455,2.8454545454545452,0.1853,0.0239,25.7645,0.23422272727272725,501,0.0,0.002993106183670592
Mean Bias,50.0,Very Late,0.44929838723627247,1.2289254545454544,1.0818181818181818,0.29575727013259306,1.8272727272727274,2.1636363636363636,2.7181818181818183,0.1778,0.024,25.1818,0.22892545454545452,501,0.0,0.002957572701325931
Mean Bias,100.0,Extreme Late,0.7688847823419689,1.230520909090909,1.0909090909090908,0.2960703655586016,1.8454545454545455,2.1363636363636362,2.881818181818182,0.1795,0.0237,25.3573,0.23052090909090908,501,0.0,0.0029607036555860163
Confidence Error,0.2,Very Overconfident,0.6447236373043678,1.2249599999999998,1.0909090909090908,0.29063644734961674,1.8272727272727274,2.118181818181818,2.7636363636363637,0.177,0.0188,24.7456,0.22496,501,0.0,0.0029063644734961674
Confidence Error,0.4,Overconfident,0.41123418992931093,1.2323563636363637,1.0909090909090908,0.3013981212631093,1.8363636363636364,2.1182727272727293,3.5545454545454547,0.1836,0.0202,25.5592,0.23235636363636364,282,0.0009,0.0030139812126310926
Confidence Error,0.7,Slightly Overconfident,0.1660306128928485,1.2313436363636363,1.0909090909090908,0.29502474935812945,1.8363636363636364,2.1363636363636362,2.909090909090909,0.1849,0.0218,25.4478,0.23134363636363636,402,0.0,0.0029502474935812944
Confidence Error,1.0,Correct,0.0,1.2305199999999998,1.0909090909090908,0.29458263102381743,1.8363636363636364,2.1454545454545455,2.6545454545454548,0.1843,0.022,25.3572,0.23051999999999997,501,0.0,0.0029458263102381745
Confidence Error,1.5,Slightly Underconfident,0.1668061375648991,1.233680909090909,1.1,0.2977201341401944,1.8454545454545455,2.172818181818184,2.9909090909090907,0.1845,0.0224,25.7049,0.2336809090909091,501,0.0,0.0029772013414019437
Confidence Error,2.5,Underconfident,0.33472809438811535,1.2342881818181817,1.1,0.29913230579433464,1.8363636363636364,2.1545454545454548,2.7454545454545456,0.1843,0.0235,25.7717,0.23428818181818184,501,0.0,0.0029913230579433465
Confidence Error,5.0,Very Underconfident,0.4934778954284871,1.2297881818181817,1.0909090909090908,0.2954871010579223,1.8363636363636364,2.1272727272727274,2.9363636363636365,0.1827,0.0207,25.2767,0.22978818181818184,501,0.0,0.0029548710105792232
Model Quality,0.0,Good Model,8.00816492822417e-17,1.2312472727272727,1.1,0.2982301616918869,1.8454545454545455,2.172727272727273,2.7454545454545456,0.1799,0.0246,25.4372,0.23124727272727272,501,0.0,0.0029823016169188686
Model Quality,0.3,Mediocre,0.17363240804029453,1.228790909090909,1.0909090909090908,0.29302037877122,1.8272727272727274,2.1363636363636362,2.8,0.1779,0.0219,25.167,0.2287909090909091,501,0.0,0.0029302037877122
Model Quality,0.6,Poor,0.347264816080589,1.2268563636363636,1.0909090909090908,0.2910250598420457,1.8272727272727274,2.1363636363636362,2.890909090909091,0.1769,0.0203,24.9542,0.22685636363636363,501,0.0,0.002910250598420457
Model Quality,0.9,Very Poor,0.5208972241208836,1.2342681818181818,1.0909090909090908,0.29668920758767603,1.8272727272727274,2.1454545454545455,2.790909090909091,0.1858,0.0211,25.7695,0.2342681818181818,501,0.0,0.0029668920758767602
Wrong Belief,50.0,Believe Very Early,0.6817918379318119,1.2333581818181818,1.0909090909090908,0.31234050437085054,1.8272727272727274,2.1,3.2636363636363637,0.1815,0.0188,25.6694,0.23335818181818185,250,0.0044,0.0031234050437085052
Wrong Belief,80.0,Believe Early,0.42509543342798456,1.2321481818181819,1.0909090909090908,0.29651472260030026,1.8454545454545455,2.1636363636363636,2.6545454545454548,0.184,0.0203,25.5363,0.2321481818181818,319,0.0,0.0029651472260030028
Wrong Belief,180.0,Believe Late,0.49826840489866986,1.2371336363636363,1.1090909090909091,0.2978498249474785,1.8363636363636364,2.1363636363636362,2.7545454545454544,0.1895,0.0228,26.0847,0.23713363636363638,501,0.0,0.0029784982494747854
Wrong Belief,280.0,Believe Very Late,0.8544420432508059,1.2328109090909092,1.1,0.29680336409716856,1.8454545454545455,2.1636363636363636,2.8,0.1823,0.0221,25.6092,0.23281090909090907,501,0.0,0.0029680336409716856
Wrong Family,0.5,Exp Slow,0.4436125955243373,1.2323327272727271,1.0909090909090908,0.29509860616980965,1.8272727272727274,2.1545454545454548,3.1454545454545455,0.1852,0.0205,25.5566,0.23233272727272725,501,0.0,0.0029509860616980963
Wrong Family,1.0,Exp Medium,0.4205229764857478,1.2322572727272727,1.1,0.296100239097906,1.8454545454545455,2.1454545454545455,2.727272727272727,0.1796,0.0231,25.5483,0.23225727272727273,501,0.0,0.0029610023909790602
Wrong Family,2.0,Exp Fast,0.5456818006033402,1.2352009090909093,1.1,0.2984698073664534,1.8545454545454545,2.1545454545454548,2.809090909090909,0.1879,0.0241,25.8721,0.2352009090909091,501,0.0,0.002984698073664534
